++++++++++++++++++++++++++++++++++++++++++
Initiating model: CUEURA1
++++++++++++++++++++++++++++++++++++++++++
+-----------------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+
|   Feature\Rois  | TP0 | FP0 | TN0 | FN0 | FScore0 | TP1 | FP1 | TN1 | FN1 | FScore1 | TP2 | FP2 | TN2 | FN2 | FScore2 | TP3 | FP3 | TN3 | FN3 | FScore3 | TP4 | FP4 | TN4 | FN4 | FScore4 |
|      DSIFT      |  85 |  1  |  31 |  1  |   0.97  |  87 |  0  |  30 |  1  |   0.98  |  92 |  0  |  26 |  0  |   1.0   |  87 |  1  |  30 |  0  |   0.98  |  92 |  1  |  25 |  0  |   0.98  |
|      DSIFT      |  84 |  2  |  31 |  1  |   0.95  |  87 |  0  |  30 |  1  |   0.98  |  92 |  0  |  26 |  0  |   1.0   |  87 |  1  |  30 |  0  |   0.98  |  93 |  0  |  24 |  1  |   0.98  |
|       SURF      |  62 |  24 |  19 |  13 |   0.51  |  64 |  23 |  16 |  15 |   0.46  |  82 |  10 |  16 |  10 |   0.62  |  78 |  10 |  18 |  12 |   0.62  |  78 |  15 |  14 |  11 |   0.52  |
|       SURF      |  77 |  9  |  1  |  31 |   0.05  |  12 |  75 |  27 |  4  |   0.41  |  3  |  89 |  25 |  1  |   0.36  |  85 |  3  |  3  |  27 |   0.17  |  89 |  4  |  2  |  23 |   0.13  |
|       SURF      |  46 |  40 |  26 |  6  |   0.53  |  67 |  20 |  6  |  25 |   0.21  |  69 |  23 |  6  |  20 |   0.22  |  65 |  23 |  17 |  13 |   0.49  |  55 |  38 |  16 |  9  |   0.41  |
|       SURF      |  5  |  81 |  32 |  0  |   0.44  |  78 |  9  |  2  |  29 |   0.1   |  4  |  88 |  25 |  1  |   0.36  |  3  |  85 |  30 |  0  |   0.41  |  15 |  78 |  21 |  4  |   0.34  |
|       SURF      |  74 |  12 |  12 |  20 |   0.43  |  38 |  49 |  16 |  15 |   0.33  |  70 |  22 |  9  |  17 |   0.32  |  72 |  16 |  16 |  14 |   0.52  |  82 |  11 |  14 |  11 |   0.56  |
|       SURF      |  85 |  1  |  1  |  31 |   0.06  |  13 |  74 |  25 |  6  |   0.38  |  23 |  69 |  23 |  3  |   0.39  |  85 |  3  |  11 |  19 |   0.5   |  33 |  60 |  21 |  4  |   0.4   |
|       SURF      |  6  |  80 |  31 |  1  |   0.43  |  73 |  14 |  17 |  14 |   0.55  |  90 |  2  |  0  |  26 |   0.0   |  4  |  84 |  30 |  0  |   0.42  |  9  |  84 |  25 |  0  |   0.37  |
|       SURF      |  27 |  59 |  21 |  11 |   0.38  |  42 |  45 |  14 |  17 |   0.31  |  36 |  56 |  21 |  5  |   0.41  |  31 |  57 |  13 |  17 |   0.26  |  48 |  45 |  12 |  13 |   0.29  |
|       SURF      |  44 |  42 |  21 |  11 |   0.44  |  72 |  15 |  3  |  28 |   0.12  |  30 |  62 |  22 |  4  |   0.4   |  87 |  1  |  2  |  28 |   0.12  |  56 |  37 |  16 |  9  |   0.41  |
|       SURF      |  77 |  9  |  9  |  23 |   0.36  |  28 |  59 |  27 |  4  |   0.46  |  55 |  37 |  6  |  20 |   0.17  |  60 |  28 |  17 |  13 |   0.45  |  55 |  38 |  15 |  10 |   0.38  |
|      DSURF      |  81 |  5  |  28 |  4  |   0.86  |  84 |  3  |  28 |  3  |   0.9   |  90 |  2  |  25 |  1  |   0.94  |  84 |  4  |  28 |  2  |   0.9   |  90 |  3  |  25 |  0  |   0.94  |
|      DSURF      |  78 |  8  |  24 |  8  |   0.75  |  81 |  6  |  24 |  7  |   0.79  |  91 |  1  |  22 |  4  |   0.9   |  81 |  7  |  24 |  6  |   0.79  |  88 |  5  |  23 |  2  |   0.87  |
|      DSURF      |  83 |  3  |  28 |  4  |   0.89  |  86 |  1  |  23 |  8  |   0.84  |  90 |  2  |  24 |  2  |   0.92  |  83 |  5  |  24 |  6  |   0.81  |  89 |  4  |  21 |  4  |   0.84  |
|      DSURF      |  81 |  5  |  29 |  3  |   0.88  |  81 |  6  |  25 |  6  |   0.81  |  90 |  2  |  23 |  3  |   0.9   |  83 |  5  |  27 |  3  |   0.87  |  91 |  2  |  23 |  2  |   0.92  |
|      DSURF      |  77 |  9  |  25 |  7  |   0.76  |  74 |  13 |  27 |  4  |   0.76  |  80 |  12 |  22 |  4  |   0.73  |  77 |  11 |  29 |  1  |   0.83  |  86 |  7  |  17 |  8  |   0.69  |
|      DSURF      |  86 |  0  |  28 |  4  |   0.93  |  87 |  0  |  26 |  5  |   0.91  |  91 |  1  |  24 |  2  |   0.94  |  88 |  0  |  27 |  3  |   0.95  |  93 |  0  |  22 |  3  |   0.94  |
